transaction_date,txn_count,successful,failed,failure_rate,total_value
2025-08-05 00:00:00,285,264,21,7.37,1609380.65
2025-08-06 00:00:00,293,267,26,8.87,1533966.11
2025-08-07 00:00:00,298,280,18,6.04,1658886.79
2025-08-08 00:00:00,280,244,36,12.86,1628733.92
2025-08-09 00:00:00,285,259,26,9.12,1682711.98
2025-08-10 00:00:00,273,248,25,9.16,1608060.6
2025-08-11 00:00:00,247,224,23,9.31,1357702.56
2025-08-12 00:00:00,257,232,25,9.73,1365656.7
2025-08-13 00:00:00,256,241,15,5.86,1327741.41
2025-08-14 00:00:00,291,268,23,7.9,1663511.63
2025-08-15 00:00:00,263,236,27,10.27,1455225.97
2025-08-16 00:00:00,252,224,28,11.11,1576398.46
2025-08-17 00:00:00,283,255,28,9.89,1458219.06
2025-08-18 00:00:00,302,273,29,9.6,1691632.8
2025-08-19 00:00:00,278,249,29,10.43,1582690.93
2025-08-20 00:00:00,286,263,23,8.04,1666340.49
2025-08-21 00:00:00,286,252,34,11.89,1579493.06
2025-08-22 00:00:00,291,264,27,9.28,1620161.57
2025-08-23 00:00:00,263,244,19,7.22,1515893.25
2025-08-24 00:00:00,262,246,16,6.11,1438853.26
2025-08-25 00:00:00,275,248,27,9.82,1538928.64
2025-08-26 00:00:00,273,238,35,12.82,1573703.31
2025-08-27 00:00:00,307,276,31,10.1,1528488.37
2025-08-28 00:00:00,264,238,26,9.85,1404841.71
2025-08-29 00:00:00,252,222,30,11.9,1371212.9
2025-08-30 00:00:00,272,253,19,6.99,1418854.51
2025-08-31 00:00:00,288,266,22,7.64,1563570.37
2025-09-01 00:00:00,270,247,23,8.52,1539261.0
2025-09-02 00:00:00,276,246,30,10.87,1568090.8
2025-09-03 00:00:00,287,266,21,7.32,1494070.08
2025-09-04 00:00:00,258,233,25,9.69,1584079.57
2025-09-05 00:00:00,263,234,29,11.03,1418173.02
2025-09-06 00:00:00,298,263,35,11.74,1674949.57
2025-09-07 00:00:00,262,238,24,9.16,1470896.16
2025-09-08 00:00:00,281,249,32,11.39,1582356.97
2025-09-09 00:00:00,259,233,26,10.04,1535590.56
2025-09-10 00:00:00,290,259,31,10.69,1840361.45
2025-09-11 00:00:00,276,259,17,6.16,1642201.58
2025-09-12 00:00:00,259,227,32,12.36,1196912.81
2025-09-13 00:00:00,255,233,22,8.63,1352885.65
2025-09-14 00:00:00,283,256,27,9.54,1649510.46
2025-09-15 00:00:00,276,247,29,10.51,1443054.48
2025-09-16 00:00:00,267,244,23,8.61,1324746.1
2025-09-17 00:00:00,277,250,27,9.75,1639212.17
2025-09-18 00:00:00,255,228,27,10.59,1424058.9
2025-09-19 00:00:00,284,258,26,9.15,1526322.59
2025-09-20 00:00:00,258,236,22,8.53,1572275.53
2025-09-21 00:00:00,269,237,32,11.9,1480631.71
2025-09-22 00:00:00,270,233,37,13.7,1595571.4
2025-09-23 00:00:00,249,226,23,9.24,1340480.57
2025-09-24 00:00:00,247,224,23,9.31,1318520.86
2025-09-25 00:00:00,265,244,21,7.92,1477425.16
2025-09-26 00:00:00,259,236,23,8.88,1445555.88
2025-09-27 00:00:00,259,229,30,11.58,1344712.12
2025-09-28 00:00:00,292,257,35,11.99,1756617.08
2025-09-29 00:00:00,273,243,30,10.99,1590411.54
2025-09-30 00:00:00,265,242,23,8.68,1320145.54
2025-10-01 00:00:00,255,229,26,10.2,1549232.26
2025-10-02 00:00:00,259,231,28,10.81,1475932.57
2025-10-03 00:00:00,250,228,22,8.8,1379855.94
2025-10-04 00:00:00,284,257,27,9.51,1638202.9
2025-10-05 00:00:00,266,245,21,7.89,1595007.46
2025-10-06 00:00:00,278,256,22,7.91,1614405.72
2025-10-07 00:00:00,272,251,21,7.72,1529280.55
2025-10-08 00:00:00,285,254,31,10.88,1587520.92
2025-10-09 00:00:00,271,236,35,12.92,1503510.51
2025-10-10 00:00:00,283,252,31,10.95,1707944.8
2025-10-11 00:00:00,260,233,27,10.38,1642962.21
2025-10-12 00:00:00,281,253,28,9.96,1655581.21
2025-10-13 00:00:00,266,243,23,8.65,1383715.68
2025-10-14 00:00:00,270,243,27,10.0,1576577.13
2025-10-15 00:00:00,294,266,28,9.52,1614791.71
2025-10-16 00:00:00,271,241,30,11.07,1509321.76
2025-10-17 00:00:00,260,239,21,8.08,1624726.92
2025-10-18 00:00:00,255,229,26,10.2,1544259.75
2025-10-19 00:00:00,311,288,23,7.4,1716869.82
2025-10-20 00:00:00,290,267,23,7.93,1747234.15
2025-10-21 00:00:00,265,243,22,8.3,1544964.12
2025-10-22 00:00:00,273,239,34,12.45,1440413.1
2025-10-23 00:00:00,286,262,24,8.39,1489693.23
2025-10-24 00:00:00,256,224,32,12.5,1320968.09
2025-10-25 00:00:00,263,225,38,14.45,1616113.16
2025-10-26 00:00:00,287,267,20,6.97,1602244.87
2025-10-27 00:00:00,255,231,24,9.41,1453535.75
2025-10-28 00:00:00,254,229,25,9.84,1397932.87
2025-10-29 00:00:00,243,220,23,9.47,1453745.04
2025-10-30 00:00:00,285,254,31,10.88,1686500.77
2025-10-31 00:00:00,267,252,15,5.62,1437989.23
2025-11-01 00:00:00,256,239,17,6.64,1570709.26
2025-11-02 00:00:00,279,247,32,11.47,1501413.45
2025-11-03 00:00:00,264,237,27,10.23,1584898.48
2025-11-04 00:00:00,289,254,35,12.11,1925937.86
2025-11-05 00:00:00,278,256,22,7.91,1615288.6
2025-11-06 00:00:00,281,248,33,11.74,1593376.63
2025-11-07 00:00:00,303,272,31,10.23,1773092.46
2025-11-08 00:00:00,263,236,27,10.27,1477686.28
2025-11-09 00:00:00,286,255,31,10.84,1672416.59
2025-11-10 00:00:00,273,249,24,8.79,1515345.82
2025-11-11 00:00:00,269,241,28,10.41,1525111.44
2025-11-12 00:00:00,243,212,31,12.76,1356592.53
2025-11-13 00:00:00,237,213,24,10.13,1340449.21
2025-11-14 00:00:00,294,272,22,7.48,1645505.54
2025-11-15 00:00:00,264,243,21,7.95,1432362.61
2025-11-16 00:00:00,291,271,20,6.87,1574268.41
2025-11-17 00:00:00,296,270,26,8.78,1607705.32
2025-11-18 00:00:00,291,271,20,6.87,1670649.75
2025-11-19 00:00:00,288,266,22,7.64,1550625.07
2025-11-20 00:00:00,304,275,29,9.54,1635398.44
2025-11-21 00:00:00,300,273,27,9.0,1692928.83
2025-11-22 00:00:00,294,261,33,11.22,1493264.15
2025-11-23 00:00:00,235,216,19,8.09,1453525.66
2025-11-24 00:00:00,278,249,29,10.43,1521187.44
2025-11-25 00:00:00,281,255,26,9.25,1543829.84
2025-11-26 00:00:00,268,245,23,8.58,1273833.46
2025-11-27 00:00:00,284,252,32,11.27,1764094.06
2025-11-28 00:00:00,304,275,29,9.54,1715805.41
2025-11-29 00:00:00,262,239,23,8.78,1366548.92
2025-11-30 00:00:00,281,253,28,9.96,1466463.96
2025-12-01 00:00:00,266,243,23,8.65,1479056.58
2025-12-02 00:00:00,239,210,29,12.13,1332953.46
2025-12-03 00:00:00,283,262,21,7.42,1546711.89
2025-12-04 00:00:00,248,227,21,8.47,1349529.45
2025-12-05 00:00:00,269,238,31,11.52,1548478.78
2025-12-06 00:00:00,260,240,20,7.69,1470462.76
2025-12-07 00:00:00,268,242,26,9.7,1740013.53
2025-12-08 00:00:00,267,244,23,8.61,1460911.12
2025-12-09 00:00:00,288,257,31,10.76,1648112.04
2025-12-10 00:00:00,255,226,29,11.37,1427657.28
2025-12-11 00:00:00,269,243,26,9.67,1396459.72
2025-12-12 00:00:00,310,274,36,11.61,1773986.37
2025-12-13 00:00:00,260,228,32,12.31,1526103.05
2025-12-14 00:00:00,303,272,31,10.23,1829704.06
2025-12-15 00:00:00,302,275,27,8.94,1756381.13
2025-12-16 00:00:00,278,249,29,10.43,1640528.52
2025-12-17 00:00:00,260,241,19,7.31,1342789.1
2025-12-18 00:00:00,287,257,30,10.45,1635942.31
2025-12-19 00:00:00,239,219,20,8.37,1508861.67
2025-12-20 00:00:00,283,254,29,10.25,1525933.8
2025-12-21 00:00:00,282,260,22,7.8,1588218.79
2025-12-22 00:00:00,292,266,26,8.9,1821583.16
2025-12-23 00:00:00,293,266,27,9.22,1475157.34
2025-12-24 00:00:00,257,234,23,8.95,1516350.42
2025-12-25 00:00:00,253,228,25,9.88,1337932.57
2025-12-26 00:00:00,268,238,30,11.19,1403666.44
2025-12-27 00:00:00,294,271,23,7.82,1628377.9
2025-12-28 00:00:00,263,235,28,10.65,1373558.77
2025-12-29 00:00:00,271,233,38,14.02,1586696.17
2025-12-30 00:00:00,277,260,17,6.14,1433816.69
